Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionClass,Age_Ranges
Marco Asensio,22,Spain,85,92,54000000.0,215000.0,2050,Left,3.0,3.0,4.0,High/ Medium,Normal,Yes,RW,10.0,"Jul 1, 2015",0,2023,6'0,168lbs,79+3,79+3,79+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,79+3,79+3,79+3,83+3,66+3,63+3,63+3,63+3,66+3,62+3,51+3,51+3,51+3,62+3,82.0,82.0,50.0,83.0,79.0,86.0,83.0,76.0,82.0,85.0,85.0,82.0,79.0,82.0,76.0,86.0,58.0,76.0,61.0,88.0,45.0,45.0,82.0,84.0,62.0,83.0,40.0,42.0,39.0,13.0,9.0,6.0,12.0,10.0,€121.5M,Attacker,22-25
Saúl,23,Spain,85,90,50500000.0,77000.0,2196,Left,3.0,4.0,3.0,High/ High,Lean,Yes,RCM,6.0,"Jul 1, 2013",0,2026,6'0,170lbs,80+3,80+3,80+3,79+3,81+3,81+3,81+3,79+3,81+3,81+3,81+3,80+3,82+3,82+3,82+3,80+3,78+3,80+3,80+3,80+3,78+3,78+3,78+3,78+3,78+3,78+3,69.0,78.0,83.0,85.0,76.0,83.0,72.0,60.0,83.0,85.0,74.0,73.0,76.0,82.0,69.0,78.0,79.0,86.0,77.0,79.0,69.0,78.0,82.0,82.0,55.0,83.0,77.0,79.0,76.0,7.0,13.0,12.0,10.0,9.0,€107.3M,Midfielder,22-25
Koke,26,Spain,85,86,45000000.0,88000.0,2175,Right,3.0,4.0,3.0,High/ High,Normal,Yes,LM,8.0,"Jan 1, 2011",0,2019,5'9,163lbs,77+3,77+3,77+3,81+3,81+3,81+3,81+3,81+3,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,76+3,78+3,78+3,78+3,76+3,73+3,70+3,70+3,70+3,73+3,86.0,72.0,61.0,90.0,56.0,82.0,85.0,76.0,89.0,86.0,71.0,68.0,74.0,85.0,78.0,84.0,61.0,90.0,79.0,81.0,71.0,66.0,84.0,87.0,59.0,78.0,80.0,69.0,51.0,14.0,12.0,5.0,10.0,13.0,€95.6M,Midfielder,26-30
Parejo,29,Spain,85,85,37000000.0,66000.0,2119,Right,2.0,4.0,3.0,Medium/ Low,Lean,Yes,RCM,10.0,"Jul 1, 2011",0,2020,6'0,163lbs,74+2,74+2,74+2,77+2,77+2,77+2,77+2,77+2,80+2,80+2,80+2,78+2,83+2,83+2,83+2,78+2,74+2,77+2,77+2,77+2,74+2,71+2,69+2,69+2,69+2,71+2,84.0,79.0,61.0,90.0,72.0,78.0,89.0,90.0,87.0,84.0,51.0,43.0,66.0,78.0,72.0,78.0,51.0,78.0,72.0,82.0,58.0,81.0,81.0,86.0,83.0,78.0,69.0,68.0,60.0,5.0,9.0,12.0,14.0,8.0,€77.7M,Midfielder,26-30
Diego Costa,29,Spain,85,85,38500000.0,100000.0,2003,Right,4.0,4.0,2.0,High/ Medium,Normal,Yes,LS,19.0,"Jan 1, 2018",0,2021,6'2,190lbs,82+3,82+3,82+3,76+3,79+3,79+3,79+3,76+3,75+3,75+3,75+3,75+3,69+3,69+3,69+3,75+3,61+3,61+3,61+3,61+3,61+3,59+3,61+3,61+3,61+3,59+3,65.0,87.0,82.0,65.0,81.0,77.0,62.0,59.0,52.0,83.0,74.0,76.0,58.0,85.0,53.0,83.0,64.0,76.0,92.0,74.0,93.0,40.0,87.0,74.0,75.0,83.0,58.0,39.0,34.0,11.0,13.0,12.0,8.0,11.0,€78.9M,Attacker,26-30
Carvajal,26,Spain,84,87,31500000.0,185000.0,2040,Right,3.0,3.0,3.0,High/ High,Stocky,Yes,RB,2.0,"Jul 5, 2013",0,2022,5'8,161lbs,65+3,65+3,65+3,71+3,68+3,68+3,68+3,71+3,70+3,70+3,70+3,74+3,73+3,73+3,73+3,74+3,82+3,80+3,80+3,80+3,82+3,82+3,80+3,80+3,80+3,82+3,83.0,41.0,70.0,81.0,34.0,76.0,72.0,47.0,71.0,83.0,79.0,84.0,81.0,82.0,79.0,64.0,76.0,84.0,74.0,36.0,81.0,83.0,61.0,57.0,45.0,77.0,83.0,83.0,85.0,13.0,13.0,15.0,9.0,15.0,€66.9M,Defender,26-30
Iago Aspas,30,Spain,84,84,30000000.0,45000.0,2057,Left,2.0,3.0,3.0,High/ High,Lean,Yes,ST,17.0,"Jul 1, 2015",0,2022,5'9,148lbs,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,81+2,81+2,81+2,81+2,73+2,73+2,73+2,81+2,61+2,57+2,57+2,57+2,61+2,56+2,49+2,49+2,49+2,56+2,80.0,88.0,78.0,79.0,83.0,86.0,80.0,76.0,64.0,85.0,85.0,78.0,87.0,85.0,74.0,79.0,68.0,75.0,60.0,82.0,63.0,39.0,86.0,75.0,82.0,85.0,39.0,21.0,18.0,12.0,16.0,9.0,12.0,13.0,€63M,Attacker,26-30
Illarramendi,28,Spain,84,84,31000000.0,51000.0,2097,Right,2.0,3.0,4.0,Medium/ High,Normal,Yes,RDM,4.0,"Aug 26, 2015",0,2023,5'10,165lbs,72+2,72+2,72+2,76+2,77+2,77+2,77+2,76+2,79+2,79+2,79+2,77+2,82+2,82+2,82+2,77+2,77+2,81+2,81+2,81+2,77+2,76+2,75+2,75+2,75+2,76+2,68.0,72.0,51.0,86.0,58.0,78.0,76.0,68.0,82.0,83.0,66.0,57.0,71.0,84.0,75.0,69.0,63.0,77.0,68.0,76.0,76.0,87.0,79.0,86.0,50.0,79.0,69.0,83.0,80.0,15.0,7.0,11.0,14.0,12.0,€65.1M,Midfielder,26-30
José Callejón,31,Spain,84,84,27500000.0,105000.0,2045,Right,3.0,3.0,3.0,High/ High,Lean,Yes,RM,7.0,"Jul 11, 2013",0,2020,5'10,161lbs,79+3,79+3,79+3,82+3,82+3,82+3,82+3,82+3,81+3,81+3,81+3,81+3,73+3,73+3,73+3,81+3,67+3,60+3,60+3,60+3,67+3,63+3,54+3,54+3,54+3,63+3,82.0,78.0,65.0,80.0,84.0,82.0,73.0,65.0,51.0,85.0,88.0,89.0,85.0,82.0,80.0,78.0,73.0,91.0,55.0,80.0,54.0,40.0,88.0,78.0,62.0,79.0,64.0,32.0,32.0,8.0,5.0,14.0,11.0,11.0,€46.8M,Midfielder,31-35
Sergio Asenjo,29,Spain,84,85,24000000.0,42000.0,1333,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,No,GK,1.0,"Jun 30, 2014",0,2022,6'2,192lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,14.0,13.0,39.0,15.0,15.0,23.0,22.0,39.0,14.0,59.0,54.0,62.0,79.0,58.0,24.0,73.0,41.0,73.0,13.0,20.0,22.0,12.0,46.0,15.0,64.0,24.0,15.0,14.0,85.0,83.0,77.0,82.0,84.0,€52.2M,Goalkeeper,26-30
Raúl Albiol,32,Spain,84,84,18000000.0,88000.0,1765,Right,3.0,3.0,2.0,Low/ High,Lean,Yes,RCB,33.0,"Jul 21, 2013",0,2021,6'3,181lbs,55+3,55+3,55+3,54+3,56+3,56+3,56+3,54+3,59+3,59+3,59+3,57+3,66+3,66+3,66+3,57+3,70+3,78+3,78+3,78+3,70+3,72+3,82+3,82+3,82+3,72+3,38.0,27.0,77.0,74.0,31.0,59.0,53.0,45.0,72.0,71.0,54.0,53.0,53.0,82.0,56.0,65.0,77.0,55.0,82.0,53.0,81.0,86.0,30.0,57.0,37.0,75.0,89.0,87.0,85.0,8.0,6.0,5.0,9.0,8.0,€30.6M,Defender,31-35
Lucas Vázquez,27,Spain,83,83,27000000.0,205000.0,2048,Right,2.0,4.0,4.0,High/ High,Normal,Yes,RW,17.0,"Jul 2, 2015",0,2021,5'8,154lbs,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,82+2,78+2,78+2,78+2,82+2,69+2,65+2,65+2,65+2,69+2,65+2,55+2,55+2,55+2,65+2,86.0,73.0,52.0,83.0,54.0,82.0,82.0,75.0,75.0,83.0,84.0,79.0,79.0,85.0,84.0,82.0,68.0,90.0,57.0,80.0,65.0,44.0,81.0,83.0,56.0,75.0,42.0,50.0,44.0,9.0,16.0,9.0,9.0,7.0,€55.4M,Attacker,26-30
Gerard Moreno,26,Spain,83,85,32000000.0,53000.0,1967,Left,1.0,4.0,4.0,High/ Medium,Lean,Yes,LS,7.0,"Jul 2, 2018",0,2023,5'11,170lbs,80+2,80+2,80+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,61+2,59+2,59+2,59+2,61+2,60+2,56+2,56+2,56+2,60+2,61.0,83.0,80.0,78.0,79.0,78.0,71.0,56.0,56.0,81.0,77.0,80.0,70.0,82.0,69.0,81.0,72.0,72.0,74.0,77.0,55.0,40.0,83.0,58.0,73.0,72.0,43.0,41.0,41.0,15.0,12.0,7.0,12.0,10.0,€69.6M,Attacker,26-30
Kepa,23,Spain,83,91,28500000.0,84000.0,1223,Right,1.0,4.0,1.0,Medium/ Medium,Lean,Yes,GK,13.0,"Aug 8, 2018",0,2025,6'1,187lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,11.0,17.0,32.0,18.0,10.0,25.0,19.0,36.0,16.0,34.0,33.0,41.0,79.0,39.0,25.0,71.0,37.0,51.0,14.0,18.0,21.0,15.0,55.0,24.0,63.0,19.0,18.0,16.0,84.0,80.0,76.0,80.0,84.0,€58.4M,Goalkeeper,22-25
Manu Trigueros,26,Spain,83,84,30000000.0,49000.0,2121,Right,2.0,4.0,4.0,Medium/ Medium,Lean,Yes,RCM,14.0,"Jul 1, 2011",0,2022,5'10,165lbs,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,80+2,80+2,80+2,78+2,81+2,81+2,81+2,78+2,73+2,76+2,76+2,76+2,73+2,72+2,71+2,71+2,71+2,72+2,72.0,71.0,74.0,86.0,63.0,80.0,80.0,69.0,83.0,83.0,68.0,65.0,76.0,82.0,72.0,81.0,77.0,77.0,63.0,80.0,71.0,69.0,77.0,84.0,65.0,73.0,70.0,73.0,60.0,9.0,14.0,12.0,7.0,8.0,€65.3M,Midfielder,26-30
Suso,24,Spain,83,86,33000000.0,115000.0,1959,Left,3.0,3.0,4.0,High/ Medium,Lean,No,RW,11.0,"Jan 17, 2015",0,2022,5'9,154lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,60+3,56+3,56+3,56+3,60+3,55+3,42+3,42+3,42+3,55+3,84.0,70.0,50.0,86.0,72.0,88.0,87.0,80.0,75.0,89.0,83.0,77.0,86.0,78.0,84.0,78.0,50.0,77.0,56.0,87.0,23.0,20.0,76.0,84.0,72.0,76.0,50.0,23.0,18.0,15.0,15.0,9.0,8.0,9.0,€58.6M,Attacker,22-25
Nacho Fernández,28,Spain,83,85,24500000.0,180000.0,1855,Right,2.0,4.0,2.0,Medium/ High,Normal,Yes,CB,12.0,"Aug 1, 2010",0,2021,5'11,168lbs,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,64+2,66+2,66+2,66+2,64+2,77+2,77+2,77+2,77+2,77+2,79+2,80+2,80+2,80+2,79+2,70.0,32.0,82.0,80.0,38.0,55.0,55.0,37.0,61.0,78.0,70.0,79.0,60.0,79.0,68.0,54.0,81.0,78.0,79.0,28.0,78.0,81.0,37.0,53.0,45.0,73.0,75.0,86.0,85.0,12.0,7.0,10.0,15.0,7.0,€52.1M,Defender,26-30
Sergi Roberto,26,Spain,83,86,26500000.0,170000.0,2106,Right,3.0,3.0,4.0,High/ High,Normal,Yes,RB,20.0,"Jul 1, 2013",0,2022,5'10,150lbs,71+3,71+3,71+3,77+3,76+3,76+3,76+3,77+3,78+3,78+3,78+3,79+3,80+3,80+3,80+3,79+3,82+3,80+3,80+3,80+3,82+3,81+3,76+3,76+3,76+3,81+3,85.0,63.0,72.0,86.0,50.0,78.0,74.0,60.0,78.0,83.0,78.0,79.0,69.0,80.0,74.0,65.0,47.0,85.0,69.0,66.0,68.0,81.0,69.0,83.0,57.0,76.0,75.0,83.0,83.0,14.0,16.0,11.0,15.0,10.0,€56.3M,Defender,26-30
Rodrigo,27,Spain,83,84,30500000.0,57000.0,2060,Left,2.0,3.0,4.0,High/ Medium,Lean,Yes,ST,9.0,"Dec 3, 2014",0,2022,6'0,170lbs,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,79+2,71+2,71+2,71+2,79+2,63+2,59+2,59+2,59+2,63+2,61+2,55+2,55+2,55+2,61+2,72.0,78.0,80.0,78.0,77.0,82.0,83.0,67.0,58.0,82.0,88.0,91.0,84.0,80.0,77.0,83.0,78.0,78.0,72.0,76.0,60.0,31.0,83.0,74.0,77.0,77.0,44.0,41.0,40.0,7.0,13.0,10.0,11.0,5.0,€66.3M,Attacker,26-30
Marcos Alonso,27,Spain,83,84,24000000.0,130000.0,2201,Left,2.0,3.0,3.0,High/ Low,Lean,Yes,LB,3.0,"Aug 31, 2016",0,2023,6'2,192lbs,78+2,78+2,78+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,81+2,81+2,79+2,79+2,79+2,81+2,85.0,68.0,83.0,84.0,70.0,79.0,85.0,86.0,73.0,83.0,69.0,76.0,64.0,84.0,58.0,84.0,71.0,90.0,76.0,77.0,75.0,79.0,79.0,69.0,64.0,76.0,79.0,82.0,79.0,9.0,7.0,13.0,9.0,12.0,€46.2M,Defender,26-30
Juan Mata,30,Spain,83,83,24500000.0,160000.0,1984,Left,3.0,3.0,4.0,Medium/ Medium,Lean,Yes,RM,8.0,"Jan 25, 2014",0,2019,5'7,139lbs,74+3,74+3,74+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,77+3,77+3,77+3,80+3,61+3,60+3,60+3,60+3,61+3,56+3,46+3,46+3,46+3,56+3,83.0,78.0,56.0,85.0,71.0,82.0,84.0,86.0,79.0,88.0,69.0,62.0,84.0,85.0,89.0,75.0,70.0,71.0,37.0,72.0,50.0,39.0,83.0,85.0,81.0,87.0,42.0,31.0,21.0,9.0,10.0,14.0,5.0,8.0,€45.3M,Midfielder,26-30
Adán,31,Spain,83,83,15500000.0,55000.0,1299,Left,2.0,2.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jul 10, 2018",0,2020,6'3,203lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,11.0,23.0,34.0,15.0,12.0,11.0,12.0,43.0,15.0,56.0,54.0,55.0,77.0,51.0,25.0,71.0,32.0,77.0,12.0,41.0,20.0,11.0,42.0,25.0,63.0,20.0,14.0,18.0,81.0,84.0,78.0,84.0,83.0,€31.8M,Goalkeeper,31-35
Javi Martínez,29,Spain,83,83,20000000.0,94000.0,1948,Right,3.0,3.0,2.0,Medium/ Medium,Normal,Yes,CDM,8.0,"Aug 29, 2012",0,2021,6'4,190lbs,64+3,64+3,64+3,62+3,64+3,64+3,64+3,62+3,66+3,66+3,66+3,64+3,73+3,73+3,73+3,64+3,75+3,81+3,81+3,81+3,75+3,76+3,84+3,84+3,84+3,76+3,60.0,43.0,87.0,77.0,58.0,60.0,46.0,45.0,74.0,74.0,49.0,53.0,53.0,83.0,48.0,76.0,85.0,74.0,84.0,62.0,90.0,87.0,51.0,75.0,52.0,80.0,85.0,86.0,86.0,5.0,12.0,9.0,11.0,8.0,€33M,Midfielder,26-30
Cesc Fàbregas,31,Spain,83,83,22000000.0,140000.0,2040,Right,4.0,3.0,3.0,High/ Medium,Normal,Yes,CM,4.0,"Jul 1, 2014",0,2019,5'10,170lbs,74+3,74+3,74+3,76+3,77+3,77+3,77+3,76+3,80+3,80+3,80+3,77+3,79+3,79+3,79+3,77+3,68+3,70+3,70+3,70+3,68+3,66+3,62+3,62+3,62+3,66+3,85.0,72.0,74.0,90.0,81.0,79.0,78.0,81.0,89.0,85.0,56.0,54.0,62.0,81.0,75.0,77.0,63.0,56.0,61.0,70.0,45.0,50.0,72.0,91.0,78.0,92.0,64.0,59.0,58.0,6.0,10.0,8.0,15.0,15.0,€40.7M,Midfielder,31-35
Pepe Reina,35,Spain,83,83,6000000.0,56000.0,1299,Right,3.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,25.0,"Jul 2, 2018",0,2021,6'2,203lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,14.0,13.0,19.0,11.0,10.0,11.0,11.0,22.0,23.0,50.0,63.0,50.0,82.0,60.0,24.0,73.0,34.0,72.0,15.0,32.0,22.0,13.0,65.0,24.0,64.0,20.0,22.0,24.0,80.0,83.0,82.0,82.0,82.0,€10.2M,Goalkeeper,31-35
Rodri,22,Spain,82,87,29000000.0,59000.0,2055,Right,1.0,3.0,4.0,Medium/ High,Lean,Yes,CM,16.0,"Jul 1, 2018",0,2023,6'3,181lbs,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,77+2,77+2,77+2,75+2,80+2,80+2,80+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,75+2,75+2,63.0,64.0,75.0,83.0,59.0,77.0,65.0,54.0,80.0,82.0,70.0,66.0,69.0,79.0,72.0,70.0,69.0,86.0,75.0,76.0,63.0,80.0,75.0,83.0,46.0,78.0,71.0,80.0,74.0,10.0,10.0,7.0,14.0,8.0,€61.6M,Midfielder,22-25
Pau López,23,Spain,82,87,21500000.0,21000.0,1319,Left,1.0,3.0,1.0,Medium/ Medium,Lean,Yes,GK,23.0,"Jul 4, 2018",0,2023,6'2,170lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,19.0,15.0,38.0,17.0,18.0,23.0,21.0,41.0,16.0,45.0,52.0,40.0,74.0,57.0,21.0,68.0,42.0,52.0,18.0,39.0,16.0,20.0,62.0,25.0,62.0,19.0,20.0,11.0,81.0,82.0,79.0,83.0,81.0,€46.8M,Goalkeeper,22-25
Dani García,28,Spain,82,83,20000000.0,33000.0,1940,Right,2.0,3.0,3.0,Medium/ High,Stocky,Yes,RCM,16.0,"Jul 2, 2018",0,2022,5'11,176lbs,62+2,62+2,62+2,64+2,66+2,66+2,66+2,64+2,70+2,70+2,70+2,67+2,77+2,77+2,77+2,67+2,72+2,80+2,80+2,80+2,72+2,71+2,74+2,74+2,74+2,71+2,55.0,51.0,46.0,86.0,52.0,66.0,61.0,57.0,81.0,81.0,53.0,35.0,67.0,72.0,72.0,74.0,65.0,88.0,75.0,58.0,88.0,82.0,60.0,76.0,58.0,71.0,72.0,81.0,77.0,6.0,14.0,14.0,6.0,11.0,€43.5M,Midfielder,26-30
