Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionClass,Age_Ranges
Alisson,25,Brazil,85,90,36500000.0,115000.0,1320,Right,3.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,13.0,"Jul 19, 2018",0,2024,6'3,201lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,13.0,19.0,45.0,20.0,27.0,19.0,18.0,44.0,30.0,54.0,45.0,40.0,84.0,37.0,21.0,52.0,32.0,78.0,14.0,27.0,11.0,13.0,66.0,23.0,65.0,15.0,19.0,16.0,83.0,81.0,85.0,84.0,88.0,€72.1M,Goalkeeper,22-25
Paulinho,29,Brazil,85,85,37000000.0,235000.0,2245,Right,3.0,3.0,3.0,High/ High,Lean,Yes,LDM,9.0,0,FC Barcelona,"Jun 30, 2019",6'0,157lbs,81+3,81+3,81+3,79+3,81+3,81+3,81+3,79+3,81+3,81+3,81+3,79+3,82+3,82+3,82+3,79+3,78+3,81+3,81+3,81+3,78+3,78+3,80+3,80+3,80+3,78+3,64.0,81.0,85.0,84.0,75.0,82.0,66.0,72.0,80.0,84.0,73.0,73.0,69.0,84.0,66.0,83.0,90.0,92.0,81.0,80.0,81.0,81.0,84.0,78.0,71.0,80.0,75.0,81.0,73.0,16.0,16.0,11.0,6.0,8.0,0,Midfielder,26-30
Naldo,35,Brazil,85,85,9000000.0,38000.0,1959,Right,3.0,4.0,2.0,Medium/ Medium,Lean,No,CB,29.0,"Jul 1, 2016",0,2020,6'6,201lbs,70+3,70+3,70+3,62+3,66+3,66+3,66+3,62+3,65+3,65+3,65+3,63+3,70+3,70+3,70+3,63+3,72+3,77+3,77+3,77+3,72+3,75+3,82+3,82+3,82+3,75+3,45.0,57.0,94.0,76.0,60.0,60.0,52.0,76.0,70.0,68.0,60.0,65.0,46.0,85.0,36.0,92.0,45.0,61.0,83.0,82.0,72.0,83.0,53.0,59.0,60.0,84.0,86.0,88.0,85.0,14.0,10.0,14.0,8.0,14.0,€15.3M,Defender,31-35
Miranda,33,Brazil,85,85,15500000.0,96000.0,1879,Right,3.0,3.0,2.0,Medium/ High,Lean,Yes,CB,23.0,"Jul 1, 2017",0,2020,6'1,172lbs,62+3,62+3,62+3,61+3,62+3,62+3,62+3,61+3,62+3,62+3,62+3,63+3,67+3,67+3,67+3,63+3,74+3,78+3,78+3,78+3,74+3,76+3,83+3,83+3,83+3,76+3,48.0,43.0,80.0,70.0,51.0,67.0,32.0,39.0,69.0,73.0,66.0,69.0,61.0,81.0,57.0,70.0,82.0,65.0,79.0,41.0,83.0,85.0,43.0,58.0,49.0,81.0,90.0,90.0,85.0,12.0,6.0,10.0,13.0,12.0,€26.4M,Defender,31-35
Filipe Luís,32,Brazil,85,85,21500000.0,81000.0,2145,Left,3.0,3.0,3.0,High/ Medium,Lean,Yes,LB,3.0,"Jul 28, 2015",0,2019,6'0,163lbs,72+3,72+3,72+3,75+3,74+3,74+3,74+3,75+3,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,83+3,81+3,81+3,81+3,83+3,82+3,80+3,80+3,80+3,82+3,86.0,59.0,72.0,80.0,56.0,77.0,74.0,75.0,77.0,83.0,76.0,75.0,75.0,85.0,62.0,71.0,71.0,89.0,74.0,60.0,81.0,84.0,71.0,70.0,65.0,88.0,78.0,84.0,86.0,11.0,15.0,9.0,9.0,5.0,€44.1M,Defender,31-35
Alex Telles,25,Brazil,84,87,32000000.0,22000.0,2259,Left,3.0,2.0,3.0,High/ Medium,Lean,Yes,LB,13.0,"Jul 13, 2016",0,2021,5'11,157lbs,76+3,76+3,76+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3,89.0,65.0,74.0,83.0,67.0,82.0,87.0,79.0,86.0,82.0,84.0,85.0,73.0,83.0,70.0,80.0,81.0,92.0,68.0,75.0,78.0,80.0,76.0,74.0,68.0,80.0,80.0,81.0,79.0,13.0,8.0,12.0,11.0,14.0,€66.4M,Defender,22-25
Fabinho,24,Brazil,84,88,34000000.0,120000.0,2164,Right,3.0,2.0,3.0,Medium/ Medium,Lean,No,CDM,3.0,"Jul 1, 2018",0,2023,6'2,172lbs,73+3,73+3,73+3,75+3,75+3,75+3,75+3,75+3,76+3,76+3,76+3,77+3,79+3,79+3,79+3,77+3,82+3,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,82+3,79.0,66.0,75.0,83.0,47.0,76.0,71.0,53.0,78.0,82.0,69.0,72.0,69.0,83.0,67.0,78.0,75.0,92.0,79.0,65.0,85.0,84.0,70.0,75.0,91.0,84.0,83.0,86.0,84.0,13.0,12.0,6.0,8.0,8.0,€67.2M,Midfielder,22-25
Marquinhos,24,Brazil,84,89,35500000.0,90000.0,1879,Right,3.0,3.0,2.0,Medium/ Medium,Lean,Yes,LDM,5.0,"Jul 19, 2013",0,2022,6'0,165lbs,59+3,59+3,59+3,63+3,61+3,61+3,61+3,63+3,63+3,63+3,63+3,67+3,69+3,69+3,69+3,67+3,79+3,80+3,80+3,80+3,79+3,80+3,82+3,82+3,82+3,80+3,72.0,33.0,80.0,81.0,31.0,59.0,49.0,32.0,78.0,76.0,73.0,76.0,69.0,81.0,68.0,53.0,86.0,75.0,74.0,35.0,80.0,84.0,46.0,51.0,31.0,79.0,85.0,87.0,87.0,6.0,6.0,12.0,10.0,13.0,€68.3M,Midfielder,22-25
Willian,29,Brazil,84,84,30500000.0,175000.0,2052,Right,3.0,4.0,4.0,High/ High,Lean,Yes,RW,22.0,"Aug 28, 2013",0,2020,5'9,172lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,71+3,67+3,67+3,67+3,71+3,66+3,54+3,54+3,54+3,66+3,76.0,77.0,31.0,80.0,59.0,88.0,82.0,83.0,77.0,84.0,91.0,86.0,89.0,82.0,79.0,79.0,41.0,85.0,60.0,81.0,44.0,55.0,80.0,83.0,70.0,79.0,43.0,57.0,51.0,14.0,12.0,13.0,7.0,13.0,€56.4M,Attacker,26-30
Jonas,34,Brazil,84,84,16500000.0,25000.0,2023,Right,3.0,5.0,3.0,High/ Medium,Lean,Yes,ST,10.0,"Sep 12, 2014",0,2020,5'11,163lbs,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,81+3,81+3,81+3,78+3,76+3,76+3,76+3,78+3,58+3,58+3,58+3,58+3,58+3,54+3,51+3,51+3,51+3,54+3,70.0,88.0,84.0,76.0,85.0,84.0,85.0,77.0,75.0,88.0,65.0,64.0,77.0,85.0,69.0,84.0,69.0,66.0,63.0,85.0,61.0,34.0,87.0,83.0,84.0,87.0,31.0,36.0,25.0,12.0,11.0,7.0,8.0,5.0,€33M,Attacker,31-35
Gabriel Jesus,21,Brazil,83,92,41000000.0,130000.0,2051,Right,2.0,3.0,4.0,High/ High,Normal,Yes,ST,33.0,"Aug 3, 2016",0,2023,5'9,161lbs,81+2,81+2,81+2,82+2,83+2,83+2,83+2,82+2,81+2,81+2,81+2,81+2,73+2,73+2,73+2,81+2,61+2,59+2,59+2,59+2,61+2,57+2,52+2,52+2,52+2,57+2,66.0,84.0,74.0,76.0,72.0,86.0,76.0,54.0,66.0,85.0,87.0,85.0,92.0,86.0,91.0,78.0,77.0,84.0,68.0,73.0,73.0,32.0,88.0,77.0,78.0,82.0,53.0,23.0,19.0,13.0,8.0,6.0,6.0,15.0,€84.1M,Attacker,16-21
Ronaldo Cabrais,26,Brazil,83,83,28000000.0,51000.0,2095,Right,1.0,4.0,4.0,High/ Medium,Normal,No,RW,7.0,"Jan 1, 2018",0,2021,5'10,165lbs,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,83+2,78+2,78+2,78+2,83+2,65+2,61+2,61+2,61+2,65+2,60+2,50+2,50+2,50+2,60+2,83.0,74.0,64.0,83.0,76.0,85.0,86.0,78.0,82.0,83.0,88.0,87.0,85.0,84.0,76.0,82.0,64.0,86.0,70.0,78.0,62.0,40.0,82.0,83.0,77.0,81.0,24.0,35.0,33.0,12.0,12.0,13.0,15.0,13.0,€50.4M,Attacker,26-30
Josué Chiamulera,26,Brazil,83,83,22500000.0,43000.0,1894,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,LCB,4.0,"Jan 1, 2018",0,2021,6'1,176lbs,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,61+2,64+2,64+2,64+2,61+2,74+2,76+2,76+2,76+2,74+2,77+2,81+2,81+2,81+2,77+2,40.0,38.0,83.0,74.0,44.0,56.0,45.0,49.0,61.0,70.0,83.0,78.0,77.0,85.0,68.0,53.0,69.0,76.0,73.0,41.0,88.0,84.0,38.0,42.0,56.0,71.0,85.0,87.0,82.0,16.0,15.0,13.0,15.0,10.0,€40.5M,Defender,26-30
Louri Beretta,26,Brazil,83,83,28500000.0,60000.0,1921,Right,1.0,3.0,4.0,High/ Low,Normal,No,ST,9.0,"Jan 1, 2018",0,2021,6'2,183lbs,81+2,81+2,81+2,74+2,77+2,77+2,77+2,74+2,73+2,73+2,73+2,71+2,64+2,64+2,64+2,71+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,51+2,51+2,56.0,85.0,83.0,73.0,82.0,75.0,59.0,67.0,47.0,74.0,79.0,83.0,55.0,84.0,55.0,85.0,84.0,56.0,87.0,82.0,65.0,32.0,83.0,58.0,77.0,79.0,26.0,27.0,24.0,8.0,11.0,20.0,19.0,20.0,€54.2M,Attacker,26-30
Anderson Talisca,24,Brazil,83,90,36500000.0,18000.0,2142,Left,2.0,4.0,4.0,High/ Medium,Normal,No,CAM,24.0,0,SL Benfica,"Dec 31, 2018",6'3,176lbs,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,80+2,69+2,69+2,69+2,69+2,69+2,67+2,64+2,64+2,64+2,67+2,78.0,80.0,77.0,81.0,76.0,82.0,86.0,87.0,79.0,84.0,77.0,76.0,76.0,79.0,65.0,84.0,58.0,76.0,72.0,88.0,67.0,58.0,86.0,81.0,71.0,74.0,55.0,62.0,42.0,13.0,11.0,13.0,12.0,10.0,0,Midfielder,22-25
Felipe,29,Brazil,83,83,20000000.0,22000.0,1788,Right,3.0,3.0,2.0,Medium/ High,Normal,No,RCB,28.0,"Jul 1, 2016",0,2021,6'3,190lbs,56+3,56+3,56+3,55+3,55+3,55+3,55+3,55+3,57+3,57+3,57+3,58+3,64+3,64+3,64+3,58+3,71+3,76+3,76+3,76+3,71+3,73+3,81+3,81+3,81+3,73+3,45.0,39.0,81.0,74.0,44.0,57.0,32.0,30.0,67.0,62.0,60.0,67.0,52.0,77.0,57.0,46.0,90.0,78.0,86.0,41.0,92.0,81.0,34.0,50.0,47.0,75.0,85.0,85.0,79.0,9.0,11.0,14.0,9.0,7.0,€40M,Defender,26-30
Felipe Anderson,25,Brazil,83,85,31500000.0,110000.0,2042,Right,3.0,4.0,4.0,High/ Medium,Normal,No,LM,8.0,"Jul 15, 2018",0,2022,5'9,154lbs,74+3,74+3,74+3,82+3,80+3,80+3,80+3,82+3,81+3,81+3,81+3,81+3,77+3,77+3,77+3,81+3,72+3,69+3,69+3,69+3,72+3,69+3,59+3,59+3,59+3,69+3,79.0,71.0,44.0,80.0,68.0,90.0,71.0,69.0,74.0,88.0,93.0,89.0,89.0,74.0,88.0,83.0,38.0,72.0,53.0,84.0,67.0,69.0,73.0,79.0,53.0,82.0,47.0,60.0,54.0,12.0,10.0,9.0,5.0,7.0,€62.2M,Midfielder,22-25
Lucas Moura,25,Brazil,83,84,31000000.0,115000.0,2075,Right,3.0,3.0,4.0,High/ Medium,Normal,Yes,RM,27.0,"Jan 31, 2018",0,2023,5'9,154lbs,76+3,76+3,76+3,81+3,80+3,80+3,80+3,81+3,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,66+3,62+3,62+3,62+3,66+3,63+3,54+3,54+3,54+3,63+3,75.0,78.0,50.0,77.0,70.0,88.0,69.0,74.0,74.0,81.0,94.0,90.0,94.0,76.0,90.0,79.0,77.0,75.0,59.0,76.0,72.0,50.0,80.0,74.0,74.0,80.0,31.0,43.0,51.0,9.0,10.0,14.0,7.0,14.0,€59.7M,Midfielder,22-25
Allan,27,Brazil,83,83,26500000.0,87000.0,2157,Right,2.0,3.0,4.0,Medium/ High,Normal,No,RCM,5.0,"Jul 22, 2015",0,2023,5'9,163lbs,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,81+2,81+2,81+2,79+2,82+2,83+2,83+2,83+2,82+2,82+2,80+2,80+2,80+2,82+2,70.0,72.0,59.0,85.0,56.0,82.0,65.0,49.0,77.0,80.0,81.0,74.0,82.0,86.0,80.0,70.0,70.0,95.0,77.0,66.0,87.0,86.0,79.0,79.0,53.0,79.0,85.0,85.0,83.0,13.0,13.0,5.0,5.0,8.0,€45.1M,Midfielder,26-30
Neto,28,Brazil,83,84,21000000.0,41000.0,1295,Right,2.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,13.0,"Jul 7, 2017",0,2021,6'3,185lbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,15.0,14.0,36.0,12.0,19.0,12.0,13.0,41.0,24.0,53.0,49.0,59.0,79.0,49.0,28.0,80.0,39.0,63.0,20.0,40.0,15.0,11.0,42.0,22.0,64.0,17.0,14.0,15.0,85.0,79.0,79.0,78.0,82.0,€45.7M,Goalkeeper,26-30
Oscar,26,Brazil,83,84,30500000.0,29000.0,2022,Right,3.0,3.0,4.0,Medium/ Medium,Lean,Yes,LCM,8.0,"Jan 1, 2017",0,2020,5'10,146lbs,74+3,74+3,74+3,79+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,79+3,78+3,78+3,78+3,79+3,68+3,66+3,66+3,66+3,68+3,65+3,55+3,55+3,55+3,65+3,74.0,76.0,54.0,86.0,63.0,78.0,77.0,75.0,82.0,84.0,75.0,72.0,86.0,81.0,80.0,80.0,64.0,76.0,38.0,77.0,43.0,45.0,79.0,83.0,68.0,75.0,66.0,52.0,47.0,12.0,10.0,15.0,12.0,12.0,€69.4M,Midfielder,26-30
Luiz Gustavo,30,Brazil,83,83,19000000.0,63000.0,2025,Left,3.0,3.0,3.0,Medium/ High,Lean,Yes,LCB,19.0,"Jul 4, 2017",0,2021,6'2,172lbs,66+3,66+3,66+3,66+3,67+3,67+3,67+3,66+3,69+3,69+3,69+3,68+3,74+3,74+3,74+3,68+3,77+3,80+3,80+3,80+3,77+3,78+3,81+3,81+3,81+3,78+3,63.0,48.0,72.0,79.0,54.0,68.0,42.0,60.0,77.0,73.0,65.0,64.0,65.0,83.0,62.0,80.0,76.0,85.0,81.0,73.0,88.0,83.0,53.0,69.0,58.0,79.0,82.0,84.0,86.0,10.0,6.0,11.0,12.0,13.0,€36.1M,Defender,26-30
Giuliano,28,Brazil,83,83,26000000.0,64000.0,2073,Right,2.0,3.0,4.0,High/ Medium,Stocky,No,CAM,77.0,"Aug 20, 2018",0,2021,5'8,150lbs,77+2,77+2,77+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,66+2,65+2,65+2,65+2,66+2,62+2,56+2,56+2,56+2,62+2,77.0,79.0,59.0,82.0,65.0,84.0,67.0,71.0,79.0,84.0,85.0,79.0,85.0,81.0,85.0,78.0,61.0,82.0,74.0,76.0,71.0,42.0,81.0,80.0,79.0,82.0,49.0,43.0,38.0,16.0,11.0,13.0,9.0,8.0,€44.2M,Midfielder,26-30
David Luiz,31,Brazil,83,83,17500000.0,130000.0,2074,Right,4.0,3.0,3.0,Medium/ Medium,Normal,Yes,LCB,30.0,"Aug 31, 2016",0,2019,6'2,190lbs,68+3,68+3,68+3,67+3,67+3,67+3,67+3,67+3,69+3,69+3,69+3,68+3,73+3,73+3,73+3,68+3,74+3,78+3,78+3,78+3,74+3,75+3,80+3,80+3,80+3,75+3,68.0,55.0,81.0,77.0,63.0,66.0,70.0,76.0,77.0,79.0,59.0,62.0,69.0,75.0,56.0,79.0,78.0,66.0,79.0,73.0,85.0,85.0,54.0,69.0,75.0,77.0,79.0,83.0,82.0,11.0,12.0,10.0,7.0,14.0,€32.4M,Defender,31-35
Lucas Leiva,31,Brazil,83,83,17500000.0,64000.0,2095,Right,3.0,3.0,3.0,Medium/ High,Normal,Yes,LDM,6.0,"Jul 18, 2017",0,2020,5'10,172lbs,71+3,71+3,71+3,72+3,73+3,73+3,73+3,72+3,75+3,75+3,75+3,74+3,78+3,78+3,78+3,74+3,77+3,81+3,81+3,81+3,77+3,77+3,79+3,79+3,79+3,77+3,63.0,62.0,72.0,82.0,59.0,77.0,74.0,47.0,81.0,78.0,67.0,67.0,78.0,82.0,80.0,77.0,82.0,80.0,67.0,66.0,80.0,87.0,66.0,81.0,61.0,86.0,82.0,82.0,78.0,10.0,8.0,8.0,5.0,6.0,€29.8M,Midfielder,31-35
Arthur,21,Brazil,82,90,32500000.0,125000.0,2120,Right,1.0,3.0,4.0,Medium/ Medium,Normal,No,LCM,8.0,"Jul 9, 2018",0,2024,5'7,161lbs,73+2,73+2,73+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,75+2,76+2,76+2,76+2,75+2,73+2,71+2,71+2,71+2,73+2,70.0,72.0,58.0,85.0,63.0,82.0,68.0,60.0,80.0,83.0,68.0,70.0,79.0,81.0,86.0,76.0,83.0,78.0,62.0,74.0,73.0,75.0,77.0,82.0,69.0,84.0,65.0,76.0,70.0,6.0,13.0,13.0,11.0,12.0,€73.1M,Midfielder,16-21
Rosberto Dourado,30,Brazil,82,82,16500000.0,46000.0,2061,Right,1.0,4.0,2.0,High/ Medium,Lean,No,RCM,13.0,"Jan 1, 2018",0,2018,5'9,154lbs,67+2,67+2,67+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,74+2,77+2,77+2,77+2,74+2,79+2,80+2,80+2,80+2,79+2,80+2,78+2,78+2,78+2,80+2,61.0,53.0,70.0,82.0,57.0,77.0,54.0,57.0,78.0,76.0,80.0,81.0,72.0,80.0,80.0,60.0,43.0,93.0,68.0,59.0,75.0,82.0,58.0,77.0,77.0,81.0,83.0,86.0,80.0,15.0,14.0,14.0,10.0,9.0,€31.4M,Midfielder,26-30
Juiano Mestres,34,Brazil,82,82,6500000.0,39000.0,2003,Right,1.0,3.0,2.0,High/ Medium,Normal,No,RCB,3.0,"Jan 1, 2018",0,2021,5'11,181lbs,66+2,66+2,66+2,60+2,63+2,63+2,63+2,60+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,40.0,56.0,83.0,67.0,63.0,60.0,72.0,58.0,58.0,64.0,68.0,74.0,61.0,78.0,63.0,74.0,91.0,76.0,79.0,61.0,86.0,82.0,58.0,50.0,62.0,70.0,77.0,85.0,84.0,18.0,12.0,14.0,11.0,18.0,€12.4M,Defender,31-35
