Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
J. Pastore,29,Argentina,82,82,21500000.0,84000.0,2050,Right,3.0,4.0,4.0,High/ Medium,Lean,Yes,CAM,27.0,"Jul 1, 2018",0,2022,6.2,172.0,75.0,75.0,75.0,80.0,80.0,80.0,80.0,80.0,82.0,82.0,82.0,79.0,80.0,80.0,80.0,79.0,69.0,70.0,70.0,70.0,69.0,66.0,61.0,61.0,61.0,66.0,77.0,73.0,61.0,86.0,78.0,87.0,83.0,69.0,83.0,86.0,69.0,69.0,79.0,78.0,63.0,78.0,49.0,62.0,64.0,76.0,65.0,69.0,78.0,87.0,75.0,80.0,45.0,59.0,51.0,14.0,9.0,6.0,10.0,12.0,€36.6M
N. Gaitán,30,Argentina,82,82,21000000.0,22000.0,2010,Left,3.0,2.0,4.0,Medium/ Medium,Lean,Yes,CAM,9.0,"Feb 27, 2018",0,2021,5.8,146.0,73.0,73.0,73.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,75.0,75.0,75.0,80.0,64.0,60.0,60.0,60.0,64.0,60.0,51.0,51.0,51.0,60.0,80.0,71.0,54.0,81.0,81.0,84.0,88.0,72.0,75.0,83.0,84.0,79.0,87.0,82.0,81.0,72.0,81.0,69.0,46.0,73.0,57.0,40.0,77.0,82.0,71.0,80.0,35.0,42.0,43.0,8.0,11.0,9.0,7.0,5.0,€45.2M
F. Fazio,31,Argentina,82,82,15000000.0,73000.0,1633,Right,3.0,2.0,2.0,Medium/ Medium,Normal,Yes,LCB,20.0,"Jul 15, 2017",0,2020,6.5,187.0,56.0,56.0,56.0,50.0,53.0,53.0,53.0,50.0,52.0,52.0,52.0,54.0,61.0,61.0,61.0,54.0,69.0,76.0,76.0,76.0,69.0,71.0,81.0,81.0,81.0,71.0,44.0,41.0,89.0,64.0,35.0,48.0,46.0,37.0,62.0,72.0,36.0,43.0,29.0,84.0,32.0,63.0,41.0,74.0,91.0,26.0,84.0,85.0,32.0,47.0,26.0,86.0,85.0,85.0,78.0,8.0,9.0,12.0,11.0,14.0,€25.5M
E. Garay,31,Argentina,82,82,15000000.0,44000.0,1896,Right,3.0,3.0,2.0,Medium/ Medium,Normal,Yes,RCB,24.0,"Aug 31, 2016",0,2020,6.2,198.0,63.0,63.0,63.0,59.0,60.0,60.0,60.0,59.0,61.0,61.0,61.0,60.0,68.0,68.0,68.0,60.0,69.0,76.0,76.0,76.0,69.0,70.0,79.0,79.0,79.0,70.0,62.0,58.0,80.0,69.0,49.0,60.0,55.0,74.0,72.0,73.0,34.0,36.0,54.0,76.0,34.0,80.0,76.0,62.0,88.0,64.0,77.0,83.0,42.0,63.0,69.0,78.0,82.0,83.0,81.0,14.0,6.0,13.0,13.0,14.0,€31.5M
L. Biglia,32,Argentina,82,82,12500000.0,98000.0,2104,Right,3.0,4.0,3.0,Medium/ High,Normal,No,CDM,21.0,"Jul 17, 2017",0,2020,5.1,139.0,66.0,66.0,66.0,72.0,71.0,71.0,71.0,72.0,75.0,75.0,75.0,74.0,78.0,78.0,78.0,74.0,77.0,80.0,80.0,80.0,77.0,76.0,75.0,75.0,75.0,76.0,74.0,50.0,54.0,86.0,78.0,80.0,71.0,76.0,82.0,84.0,65.0,65.0,76.0,80.0,78.0,77.0,62.0,75.0,65.0,75.0,83.0,82.0,50.0,80.0,72.0,80.0,80.0,78.0,74.0,14.0,12.0,7.0,12.0,7.0,€21.3M
A. Correa,23,Argentina,81,87,24500000.0,54000.0,2047,Right,1.0,4.0,4.0,Medium/ Low,Lean,Yes,RM,11.0,"Dec 13, 2014",0,2024,5.7,150.0,79.0,79.0,79.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0,80.0,75.0,75.0,75.0,80.0,67.0,63.0,63.0,63.0,67.0,65.0,58.0,58.0,58.0,65.0,74.0,82.0,67.0,73.0,79.0,87.0,82.0,65.0,65.0,87.0,87.0,82.0,87.0,82.0,83.0,80.0,50.0,74.0,63.0,83.0,41.0,48.0,82.0,78.0,55.0,74.0,58.0,53.0,44.0,13.0,10.0,9.0,8.0,16.0,€55.1M
E. Salvio,27,Argentina,81,81,18500000.0,19000.0,2141,Right,2.0,4.0,4.0,High/ Medium,Stocky,No,RW,18.0,"Jul 1, 2012",0,2019,5.8,170.0,79.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,80.0,81.0,76.0,76.0,76.0,81.0,72.0,68.0,68.0,68.0,72.0,70.0,64.0,64.0,64.0,70.0,78.0,77.0,73.0,75.0,72.0,85.0,79.0,64.0,72.0,84.0,89.0,87.0,83.0,80.0,76.0,80.0,87.0,85.0,63.0,76.0,69.0,60.0,83.0,76.0,75.0,81.0,49.0,60.0,56.0,9.0,11.0,9.0,5.0,14.0,€37M
M. Lanzini,25,Argentina,81,85,23000000.0,90000.0,1931,Right,2.0,3.0,4.0,Medium/ Medium,Lean,Yes,CAM,10.0,"Jul 1, 2016",0,2020,5.6,130.0,72.0,72.0,72.0,79.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,74.0,74.0,74.0,79.0,59.0,55.0,55.0,55.0,59.0,54.0,43.0,43.0,43.0,54.0,74.0,70.0,56.0,80.0,61.0,87.0,76.0,76.0,78.0,86.0,84.0,78.0,86.0,73.0,89.0,75.0,75.0,73.0,39.0,76.0,48.0,27.0,73.0,79.0,73.0,77.0,27.0,36.0,25.0,14.0,9.0,6.0,7.0,15.0,€45.4M
D. Perotti,29,Argentina,81,81,17500000.0,84000.0,1959,Right,3.0,4.0,4.0,Medium/ Medium,Lean,No,LW,8.0,"Jan 1, 2016",0,2021,5.1,154.0,73.0,73.0,73.0,80.0,79.0,79.0,79.0,80.0,81.0,81.0,81.0,80.0,75.0,75.0,75.0,80.0,63.0,60.0,60.0,60.0,63.0,58.0,50.0,50.0,50.0,58.0,79.0,66.0,57.0,81.0,60.0,88.0,72.0,64.0,69.0,88.0,86.0,76.0,83.0,80.0,78.0,73.0,64.0,73.0,60.0,71.0,51.0,36.0,78.0,84.0,90.0,81.0,58.0,31.0,22.0,5.0,8.0,14.0,6.0,8.0,€29.8M
E. Lamela,26,Argentina,81,82,21000000.0,105000.0,2100,Left,2.0,2.0,4.0,High/ High,Lean,Yes,RM,22.0,"Aug 30, 2013",0,2022,6.0,176.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,77.0,77.0,77.0,80.0,66.0,66.0,66.0,66.0,66.0,63.0,59.0,59.0,59.0,63.0,78.0,74.0,69.0,83.0,77.0,86.0,83.0,80.0,73.0,84.0,76.0,74.0,75.0,78.0,74.0,81.0,63.0,78.0,68.0,82.0,84.0,45.0,79.0,83.0,75.0,78.0,48.0,51.0,42.0,10.0,15.0,11.0,8.0,13.0,€40.4M
G. Lo Celso,22,Argentina,80,86,20000000.0,72000.0,2105,Left,1.0,3.0,3.0,High/ Medium,Normal,Yes,RCM,20.0,0,Paris Saint-Germain,"Jun 30, 2019",5.9,154.0,74.0,74.0,74.0,78.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,73.0,72.0,72.0,72.0,73.0,71.0,66.0,66.0,66.0,71.0,75.0,73.0,59.0,81.0,69.0,81.0,82.0,72.0,80.0,82.0,72.0,75.0,81.0,77.0,81.0,79.0,64.0,80.0,67.0,75.0,65.0,65.0,78.0,81.0,60.0,79.0,61.0,67.0,67.0,10.0,7.0,10.0,15.0,14.0,0
M. Acuña,26,Argentina,80,80,12500000.0,16000.0,2265,Left,2.0,3.0,4.0,Medium/ High,Stocky,No,LB,9.0,"Jul 21, 2017",0,2023,5.8,152.0,75.0,75.0,75.0,79.0,77.0,77.0,77.0,79.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,80.0,79.0,79.0,79.0,80.0,78.0,77.0,77.0,77.0,78.0,87.0,65.0,63.0,78.0,68.0,85.0,87.0,78.0,76.0,82.0,79.0,75.0,84.0,76.0,86.0,83.0,69.0,90.0,84.0,84.0,88.0,76.0,75.0,78.0,74.0,86.0,78.0,80.0,75.0,8.0,14.0,13.0,13.0,14.0,€25M
G. Rulli,26,Argentina,80,85,14000000.0,26000.0,1264,Right,3.0,3.0,1.0,Medium/ Medium,Lean,Yes,GK,23.0,"Jan 1, 2017",0,2022,6.2,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,12.0,32.0,16.0,14.0,19.0,20.0,23.0,15.0,54.0,48.0,58.0,76.0,50.0,24.0,65.0,42.0,73.0,17.0,26.0,21.0,12.0,58.0,24.0,61.0,15.0,13.0,17.0,83.0,76.0,74.0,77.0,83.0,€30.5M
F. Armani,31,Argentina,80,80,9000000.0,22000.0,1224,Right,1.0,2.0,1.0,Medium/ Medium,Normal,No,GK,1.0,"Jan 12, 2018",0,2022,6.2,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,19.0,34.0,18.0,19.0,14.0,16.0,21.0,29.0,40.0,40.0,40.0,79.0,34.0,25.0,65.0,28.0,82.0,17.0,35.0,21.0,18.0,55.0,20.0,48.0,10.0,13.0,18.0,79.0,74.0,69.0,79.0,84.0,€12.6M
N. Tagliafico,25,Argentina,80,82,15000000.0,20000.0,2025,Left,2.0,2.0,3.0,High/ Medium,Normal,No,LB,3.0,"Jan 5, 2018",0,2022,5.7,143.0,68.0,68.0,68.0,72.0,70.0,70.0,70.0,72.0,70.0,70.0,70.0,74.0,71.0,71.0,71.0,74.0,78.0,75.0,75.0,75.0,78.0,78.0,75.0,75.0,75.0,78.0,75.0,57.0,73.0,75.0,38.0,74.0,61.0,40.0,67.0,74.0,85.0,86.0,79.0,75.0,79.0,66.0,90.0,91.0,63.0,44.0,78.0,77.0,67.0,68.0,46.0,73.0,78.0,78.0,78.0,13.0,9.0,10.0,15.0,16.0,€22.1M
L. Paredes,24,Argentina,80,85,,,2122,Right,2.0,4.0,4.0,Medium/ Medium,Normal,No,CM,5.0,0,0,0,5.11,165.0,71.0,71.0,71.0,75.0,75.0,75.0,75.0,75.0,77.0,77.0,77.0,76.0,79.0,79.0,79.0,76.0,75.0,77.0,77.0,77.0,75.0,74.0,72.0,72.0,72.0,74.0,76.0,55.0,60.0,84.0,73.0,78.0,79.0,78.0,82.0,82.0,75.0,69.0,77.0,74.0,77.0,82.0,61.0,79.0,69.0,80.0,79.0,72.0,74.0,82.0,57.0,74.0,73.0,75.0,72.0,9.0,14.0,6.0,9.0,10.0,0
R. Pereyra,27,Argentina,80,80,15500000.0,65000.0,2052,Right,2.0,4.0,4.0,High/ Medium,Lean,Yes,LM,7.0,"Aug 19, 2016",0,2021,6.0,170.0,73.0,73.0,73.0,78.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,79.0,77.0,77.0,77.0,79.0,73.0,71.0,71.0,71.0,73.0,71.0,65.0,65.0,65.0,71.0,78.0,74.0,60.0,82.0,73.0,84.0,78.0,72.0,75.0,84.0,75.0,76.0,75.0,74.0,73.0,68.0,65.0,77.0,63.0,74.0,66.0,70.0,76.0,80.0,72.0,78.0,50.0,64.0,70.0,4.0,5.0,3.0,4.0,8.0,€29.5M
M. Musacchio,27,Argentina,80,80,12500000.0,85000.0,1892,Right,3.0,3.0,3.0,Medium/ Medium,Normal,No,RCB,22.0,"Jul 1, 2017",0,2021,5.11,161.0,60.0,60.0,60.0,62.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,63.0,67.0,67.0,67.0,63.0,72.0,75.0,75.0,75.0,72.0,74.0,79.0,79.0,79.0,74.0,55.0,40.0,76.0,69.0,36.0,65.0,53.0,45.0,67.0,67.0,69.0,71.0,73.0,76.0,68.0,57.0,83.0,68.0,76.0,53.0,76.0,84.0,50.0,64.0,57.0,76.0,84.0,84.0,80.0,5.0,11.0,12.0,6.0,12.0,€21.3M
A. Fernández,32,Argentina,80,80,11000000.0,20000.0,2068,Right,2.0,3.0,4.0,Medium/ Medium,Lean,No,LDM,8.0,"Jan 31, 2018",0,2019,5.1,161.0,73.0,73.0,73.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0,76.0,79.0,79.0,79.0,76.0,74.0,76.0,76.0,76.0,74.0,72.0,72.0,72.0,72.0,72.0,70.0,69.0,59.0,81.0,57.0,78.0,65.0,61.0,80.0,81.0,69.0,71.0,75.0,80.0,79.0,74.0,59.0,75.0,73.0,73.0,80.0,77.0,78.0,81.0,62.0,81.0,68.0,76.0,64.0,9.0,13.0,6.0,16.0,9.0,€23.7M
I. Piatti,33,Argentina,80,80,9000000.0,13000.0,2074,Right,2.0,4.0,5.0,High/ Medium,Lean,Yes,LW,10.0,"Aug 15, 2014",0,2020,5.11,168.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,80.0,67.0,69.0,69.0,69.0,67.0,64.0,60.0,60.0,60.0,64.0,69.0,81.0,54.0,78.0,77.0,86.0,80.0,55.0,74.0,84.0,77.0,76.0,87.0,82.0,81.0,83.0,31.0,89.0,73.0,80.0,79.0,55.0,83.0,77.0,80.0,82.0,61.0,62.0,24.0,14.0,13.0,7.0,7.0,15.0,€13.5M
S. Romero,31,Argentina,80,80,9000000.0,91000.0,1251,Right,3.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jul 27, 2015",0,2021,6.4,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,12.0,39.0,17.0,12.0,12.0,13.0,48.0,40.0,47.0,44.0,52.0,78.0,44.0,14.0,63.0,35.0,75.0,11.0,33.0,21.0,11.0,55.0,16.0,62.0,14.0,11.0,15.0,78.0,76.0,81.0,77.0,82.0,€16.7M
D. Valeri,32,Argentina,80,80,11500000.0,12000.0,2009,Right,2.0,3.0,3.0,High/ Medium,Lean,Yes,RF,8.0,"Jan 10, 2013",0,2018,5.1,165.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,77.0,79.0,79.0,79.0,77.0,76.0,76.0,76.0,77.0,61.0,60.0,60.0,60.0,61.0,57.0,51.0,51.0,51.0,57.0,78.0,80.0,70.0,79.0,75.0,78.0,80.0,79.0,76.0,82.0,62.0,60.0,72.0,80.0,73.0,85.0,68.0,82.0,63.0,84.0,53.0,36.0,84.0,82.0,79.0,83.0,39.0,40.0,30.0,15.0,15.0,8.0,10.0,12.0,€17.3M
J. Mascherano,34,Argentina,80,80,4500000.0,20000.0,1973,Right,4.0,3.0,2.0,Low/ High,Normal,Yes,LDM,14.0,"Jan 26, 2018",0,2019,5.9,161.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,67.0,75.0,79.0,79.0,79.0,75.0,76.0,78.0,78.0,78.0,76.0,63.0,42.0,66.0,79.0,51.0,58.0,63.0,50.0,75.0,80.0,69.0,62.0,72.0,79.0,78.0,76.0,80.0,76.0,72.0,55.0,88.0,85.0,51.0,68.0,60.0,81.0,78.0,81.0,82.0,6.0,10.0,8.0,5.0,5.0,€9.7M
L. Martínez,20,Argentina,79,86,18000000.0,54000.0,1892,Right,1.0,4.0,4.0,High/ Medium,Normal,No,ST,18.0,"Jul 5, 2018",0,2023,5.9,174.0,78.0,78.0,78.0,74.0,76.0,76.0,76.0,74.0,73.0,73.0,73.0,72.0,65.0,65.0,65.0,72.0,55.0,53.0,53.0,53.0,55.0,53.0,52.0,52.0,52.0,53.0,56.0,82.0,79.0,62.0,68.0,78.0,71.0,33.0,50.0,79.0,82.0,83.0,79.0,75.0,70.0,79.0,81.0,75.0,86.0,68.0,74.0,31.0,79.0,72.0,59.0,77.0,46.0,22.0,25.0,11.0,8.0,8.0,8.0,13.0,€34.2M
C. Pavón,22,Argentina,79,85,17500000.0,27000.0,2030,Right,1.0,3.0,3.0,High/ Medium,Normal,No,RW,7.0,"Jul 14, 2014",0,2022,5.9,172.0,74.0,74.0,74.0,79.0,78.0,78.0,78.0,79.0,78.0,78.0,78.0,78.0,73.0,73.0,73.0,78.0,66.0,63.0,63.0,63.0,66.0,62.0,54.0,54.0,54.0,62.0,76.0,72.0,48.0,76.0,57.0,79.0,72.0,77.0,68.0,76.0,93.0,90.0,92.0,77.0,85.0,84.0,61.0,92.0,73.0,84.0,56.0,49.0,78.0,77.0,59.0,68.0,65.0,34.0,30.0,11.0,10.0,9.0,13.0,7.0,€28M
F. Cervi,24,Argentina,79,84,17000000.0,15000.0,1996,Left,2.0,3.0,5.0,High/ High,Normal,No,LW,11.0,"Jan 4, 2016",0,2023,5.5,137.0,70.0,70.0,70.0,79.0,77.0,77.0,77.0,79.0,77.0,77.0,77.0,79.0,73.0,73.0,73.0,79.0,71.0,64.0,64.0,64.0,71.0,67.0,55.0,55.0,55.0,67.0,78.0,65.0,48.0,73.0,55.0,85.0,78.0,76.0,67.0,84.0,93.0,90.0,91.0,82.0,91.0,68.0,60.0,87.0,33.0,64.0,71.0,59.0,75.0,72.0,56.0,81.0,42.0,50.0,53.0,12.0,8.0,9.0,11.0,10.0,€35.3M
R. Battaglia,26,Argentina,79,80,14500000.0,17000.0,2030,Right,1.0,4.0,3.0,Medium/ Medium,Normal,No,CM,16.0,"Jul 1, 2017",0,2023,6.2,174.0,71.0,71.0,71.0,70.0,73.0,73.0,73.0,70.0,73.0,73.0,73.0,71.0,77.0,77.0,77.0,71.0,75.0,80.0,80.0,80.0,75.0,75.0,79.0,79.0,79.0,75.0,46.0,63.0,68.0,78.0,53.0,74.0,45.0,60.0,76.0,76.0,67.0,69.0,60.0,78.0,61.0,76.0,74.0,94.0,78.0,78.0,88.0,83.0,75.0,73.0,57.0,73.0,82.0,83.0,76.0,7.0,7.0,7.0,9.0,9.0,€30.1M
L. Alario,25,Argentina,79,82,16000000.0,67000.0,1834,Right,2.0,3.0,3.0,High/ Medium,Normal,No,ST,13.0,"Aug 31, 2017",0,2022,6.0,172.0,77.0,77.0,77.0,72.0,75.0,75.0,75.0,72.0,72.0,72.0,72.0,70.0,64.0,64.0,64.0,70.0,50.0,50.0,50.0,50.0,50.0,48.0,47.0,47.0,47.0,48.0,48.0,84.0,81.0,69.0,76.0,75.0,49.0,43.0,48.0,79.0,71.0,73.0,72.0,71.0,71.0,75.0,90.0,71.0,78.0,62.0,72.0,22.0,85.0,65.0,75.0,74.0,22.0,27.0,20.0,8.0,15.0,7.0,15.0,15.0,€28.4M
