Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
M. Balotelli,27,Italy,83,83,27500000.0,55000.0,1914,Right,4.0,4.0,4.0,Medium/ Low,Normal,Yes,LS,9.0,"Aug 31, 2016",0,2019,6.2,194.0,80.0,80.0,80.0,78.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,76.0,70.0,70.0,70.0,76.0,54.0,53.0,53.0,53.0,54.0,50.0,45.0,45.0,45.0,50.0,68.0,85.0,67.0,78.0,78.0,81.0,78.0,78.0,66.0,85.0,76.0,82.0,71.0,68.0,50.0,89.0,74.0,66.0,86.0,79.0,70.0,30.0,79.0,74.0,92.0,81.0,10.0,22.0,20.0,2.0,2.0,2.0,4.0,2.0,€52.3M
D. De Rossi,34,Italy,83,83,8000000.0,80000.0,2101,Right,3.0,4.0,2.0,Medium/ High,Normal,Yes,RDM,16.0,"Jul 1, 2002",0,2019,6.0,183.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0,66.0,70.0,70.0,70.0,68.0,75.0,75.0,75.0,68.0,76.0,81.0,81.0,81.0,76.0,77.0,82.0,82.0,82.0,77.0,57.0,50.0,81.0,81.0,74.0,64.0,62.0,71.0,80.0,77.0,63.0,67.0,64.0,80.0,72.0,81.0,77.0,74.0,81.0,72.0,84.0,87.0,55.0,71.0,75.0,87.0,90.0,82.0,80.0,10.0,7.0,13.0,10.0,9.0,€13.6M
G. Donnarumma,19,Italy,82,93,29000000.0,23000.0,1278,Right,3.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,22.0,"Jul 1, 2015",0,2021,6.5,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,34.0,8.0,28.0,12.0,14.0,24.0,28.0,46.0,54.0,64.0,74.0,38.0,24.0,72.0,34.0,72.0,18.0,30.0,26.0,14.0,50.0,24.0,68.0,20.0,14.0,16.0,88.0,78.0,72.0,78.0,88.0,€55.1M
F. Bernardeschi,24,Italy,82,87,29500000.0,110000.0,2096,Left,2.0,3.0,5.0,High/ High,Lean,Yes,RM,20.0,"Jul 24, 2017",0,2022,6.1,170.0,75.0,75.0,75.0,81.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,78.0,78.0,78.0,81.0,71.0,68.0,68.0,68.0,71.0,68.0,59.0,59.0,59.0,68.0,82.0,70.0,50.0,82.0,74.0,86.0,82.0,80.0,72.0,87.0,83.0,83.0,85.0,80.0,79.0,82.0,49.0,80.0,63.0,82.0,52.0,66.0,78.0,80.0,72.0,83.0,65.0,46.0,42.0,14.0,15.0,10.0,13.0,12.0,€50.9M
D. Rugani,23,Italy,82,86,24500000.0,95000.0,1705,Right,2.0,3.0,2.0,Low/ Medium,Lean,Yes,CB,15.0,"Feb 4, 2015",0,2021,6.3,185.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0,54.0,56.0,56.0,56.0,56.0,61.0,61.0,61.0,56.0,70.0,74.0,74.0,74.0,70.0,73.0,80.0,80.0,80.0,73.0,40.0,33.0,80.0,65.0,35.0,64.0,45.0,25.0,59.0,65.0,56.0,67.0,59.0,78.0,53.0,58.0,81.0,67.0,79.0,39.0,72.0,86.0,28.0,50.0,36.0,70.0,87.0,86.0,82.0,5.0,10.0,5.0,5.0,5.0,€42.3M
A. Romagnoli,23,Italy,82,89,26500000.0,84000.0,1750,Left,2.0,3.0,2.0,Medium/ High,Normal,No,LCB,13.0,"Aug 11, 2015",0,2022,6.2,172.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,58.0,63.0,63.0,63.0,58.0,71.0,76.0,76.0,76.0,71.0,74.0,81.0,81.0,81.0,74.0,36.0,30.0,76.0,70.0,28.0,65.0,36.0,24.0,69.0,69.0,63.0,69.0,60.0,78.0,53.0,64.0,78.0,75.0,81.0,46.0,84.0,85.0,31.0,40.0,34.0,76.0,88.0,85.0,81.0,9.0,14.0,12.0,8.0,9.0,€50.4M
A. Belotti,24,Italy,82,87,30000000.0,58000.0,1962,Right,3.0,5.0,3.0,High/ High,Normal,Yes,LS,9.0,"Aug 17, 2015",0,2021,5.11,159.0,80.0,80.0,80.0,73.0,77.0,77.0,77.0,73.0,72.0,72.0,72.0,71.0,64.0,64.0,64.0,71.0,56.0,55.0,55.0,55.0,56.0,54.0,55.0,55.0,55.0,54.0,42.0,88.0,84.0,68.0,80.0,78.0,64.0,56.0,42.0,75.0,78.0,79.0,79.0,76.0,75.0,81.0,83.0,83.0,84.0,67.0,83.0,31.0,85.0,61.0,77.0,75.0,55.0,23.0,32.0,13.0,7.0,12.0,14.0,7.0,€53.3M
A. Florenzi,27,Italy,82,83,20500000.0,73000.0,2253,Right,3.0,3.0,4.0,High/ Medium,Lean,Yes,RB,16.0,"Jul 1, 2010",0,2023,5.8,148.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,78.0,78.0,78.0,79.0,79.0,77.0,77.0,77.0,79.0,79.0,76.0,76.0,76.0,79.0,77.0,70.0,72.0,77.0,87.0,78.0,73.0,79.0,75.0,79.0,86.0,84.0,87.0,80.0,82.0,82.0,74.0,90.0,67.0,82.0,79.0,78.0,82.0,76.0,76.0,79.0,76.0,79.0,78.0,9.0,8.0,10.0,11.0,10.0,€36.4M
G. Bonaventura,28,Italy,82,82,22000000.0,115000.0,2207,Right,3.0,3.0,4.0,High/ Medium,Lean,No,CM,5.0,"Sep 1, 2014",0,2020,5.11,165.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,80.0,81.0,81.0,81.0,80.0,78.0,77.0,77.0,77.0,78.0,76.0,72.0,72.0,72.0,76.0,82.0,70.0,70.0,84.0,78.0,83.0,78.0,78.0,80.0,85.0,75.0,77.0,77.0,82.0,77.0,84.0,69.0,84.0,66.0,86.0,68.0,72.0,78.0,82.0,68.0,82.0,74.0,72.0,68.0,10.0,14.0,7.0,15.0,14.0,€37.4M
S. Giovinco,31,Italy,82,82,20000000.0,15000.0,1957,Right,2.0,4.0,4.0,High/ Medium,Normal,Yes,CF,21.0,"Feb 3, 2015",0,2019,5.4,134.0,75.0,75.0,75.0,82.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,81.0,75.0,75.0,75.0,81.0,59.0,56.0,56.0,56.0,59.0,54.0,41.0,41.0,41.0,54.0,72.0,80.0,34.0,80.0,75.0,86.0,90.0,93.0,76.0,86.0,88.0,80.0,94.0,80.0,91.0,80.0,34.0,77.0,42.0,81.0,75.0,26.0,82.0,81.0,73.0,82.0,23.0,29.0,28.0,6.0,3.0,6.0,3.0,3.0,€30M
M. Parolo,33,Italy,82,82,9000000.0,59000.0,2151,Right,2.0,4.0,3.0,High/ High,Lean,No,RDM,16.0,"Jul 1, 2014",0,2020,6.0,165.0,77.0,77.0,77.0,75.0,77.0,77.0,77.0,75.0,77.0,77.0,77.0,76.0,80.0,80.0,80.0,76.0,78.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,78.0,78.0,70.0,70.0,75.0,80.0,76.0,75.0,67.0,55.0,83.0,79.0,68.0,69.0,67.0,82.0,71.0,87.0,77.0,88.0,77.0,86.0,80.0,80.0,82.0,78.0,45.0,78.0,78.0,80.0,82.0,13.0,9.0,6.0,7.0,9.0,€15.3M
S. Sirigu,31,Italy,82,82,13500000.0,45000.0,1213,Right,3.0,2.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jun 27, 2017",0,2022,6.4,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,11.0,23.0,12.0,15.0,11.0,11.0,28.0,18.0,50.0,51.0,52.0,75.0,55.0,20.0,68.0,34.0,66.0,14.0,34.0,20.0,10.0,55.0,19.0,62.0,14.0,11.0,13.0,84.0,76.0,76.0,83.0,81.0,€23M
E. Viviano,32,Italy,82,82,12500000.0,15000.0,1169,Left,2.0,2.0,1.0,Medium/ Medium,Stocky,No,GK,1.0,"Jul 1, 2018",0,2020,6.5,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,13.0,36.0,13.0,18.0,14.0,16.0,37.0,22.0,30.0,33.0,35.0,74.0,32.0,21.0,66.0,29.0,58.0,18.0,18.0,10.0,10.0,60.0,21.0,64.0,27.0,10.0,12.0,83.0,84.0,76.0,81.0,83.0,€25M
A. Consigli,31,Italy,82,82,13500000.0,52000.0,1180,Right,2.0,3.0,1.0,Medium/ Medium,Lean,No,GK,47.0,"Sep 1, 2014",0,2022,6.2,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,31.0,19.0,10.0,15.0,15.0,27.0,23.0,48.0,34.0,57.0,75.0,40.0,24.0,80.0,31.0,51.0,19.0,11.0,15.0,10.0,46.0,21.0,63.0,10.0,17.0,19.0,82.0,83.0,72.0,82.0,83.0,€23M
M. Politano,24,Italy,81,84,22500000.0,57000.0,1983,Left,2.0,4.0,4.0,High/ Medium,Normal,No,RM,16.0,0,Sassuolo,"Jun 30, 2019",5.7,148.0,73.0,73.0,73.0,80.0,78.0,78.0,78.0,80.0,79.0,79.0,79.0,79.0,73.0,73.0,73.0,79.0,64.0,60.0,60.0,60.0,64.0,59.0,48.0,48.0,48.0,59.0,79.0,74.0,40.0,78.0,73.0,84.0,77.0,75.0,74.0,83.0,85.0,84.0,90.0,79.0,82.0,78.0,50.0,79.0,45.0,82.0,63.0,38.0,77.0,75.0,70.0,79.0,63.0,29.0,29.0,11.0,12.0,6.0,8.0,11.0,0
S. Zaza,27,Italy,81,82,21000000.0,48000.0,2028,Left,2.0,3.0,4.0,High/ High,Normal,Yes,RS,11.0,0,Valencia CF,"Jun 30, 2019",6.1,185.0,79.0,79.0,79.0,74.0,77.0,77.0,77.0,74.0,74.0,74.0,74.0,72.0,67.0,67.0,67.0,72.0,61.0,60.0,60.0,60.0,61.0,60.0,62.0,62.0,62.0,60.0,52.0,80.0,79.0,71.0,81.0,77.0,71.0,56.0,45.0,79.0,79.0,79.0,76.0,78.0,69.0,85.0,89.0,76.0,88.0,72.0,87.0,40.0,83.0,66.0,79.0,72.0,54.0,42.0,50.0,7.0,13.0,9.0,7.0,9.0,0
S. Verdi,25,Italy,81,81,19500000.0,77000.0,2053,Left,2.0,5.0,4.0,High/ Medium,Lean,No,RW,9.0,"Jul 1, 2018",0,2023,5.7,134.0,73.0,73.0,73.0,81.0,79.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,76.0,76.0,76.0,81.0,69.0,63.0,63.0,63.0,69.0,65.0,53.0,53.0,53.0,65.0,82.0,67.0,42.0,82.0,74.0,84.0,84.0,84.0,76.0,86.0,88.0,86.0,92.0,78.0,90.0,81.0,51.0,75.0,48.0,77.0,48.0,36.0,76.0,82.0,68.0,78.0,55.0,48.0,60.0,12.0,10.0,7.0,15.0,9.0,€33.2M
S. El Shaarawy,25,Italy,81,82,21000000.0,77000.0,1913,Right,3.0,3.0,5.0,High/ Medium,Lean,Yes,LM,92.0,"Jan 26, 2016",0,2020,5.1,159.0,74.0,74.0,74.0,79.0,78.0,78.0,78.0,79.0,77.0,77.0,77.0,77.0,69.0,69.0,69.0,77.0,61.0,56.0,56.0,56.0,61.0,57.0,49.0,49.0,49.0,57.0,74.0,78.0,51.0,74.0,79.0,84.0,83.0,63.0,57.0,86.0,86.0,87.0,85.0,72.0,81.0,74.0,60.0,68.0,54.0,74.0,54.0,36.0,78.0,73.0,67.0,72.0,59.0,30.0,25.0,5.0,3.0,5.0,5.0,3.0,€37.3M
A. Candreva,31,Italy,81,81,15500000.0,74000.0,2084,Right,3.0,4.0,4.0,Medium/ Medium,Normal,No,RM,87.0,"Aug 3, 2016",0,2021,5.11,154.0,76.0,76.0,76.0,79.0,78.0,78.0,78.0,79.0,78.0,78.0,78.0,79.0,77.0,77.0,77.0,79.0,73.0,71.0,71.0,71.0,73.0,70.0,64.0,64.0,64.0,70.0,83.0,73.0,55.0,78.0,75.0,82.0,74.0,71.0,73.0,83.0,77.0,78.0,74.0,78.0,76.0,87.0,35.0,86.0,69.0,82.0,66.0,67.0,79.0,77.0,83.0,73.0,61.0,63.0,53.0,10.0,4.0,14.0,4.0,14.0,€26.4M
F. Quagliarella,35,Italy,81,81,8000000.0,39000.0,1933,Right,2.0,4.0,4.0,Medium/ Medium,Normal,Yes,RS,27.0,"Jul 1, 2016",0,2019,5.11,174.0,79.0,79.0,79.0,77.0,79.0,79.0,79.0,77.0,78.0,78.0,78.0,75.0,72.0,72.0,72.0,75.0,53.0,54.0,54.0,54.0,53.0,50.0,45.0,45.0,45.0,50.0,66.0,84.0,68.0,76.0,87.0,76.0,78.0,78.0,73.0,81.0,73.0,67.0,71.0,81.0,75.0,87.0,69.0,66.0,76.0,89.0,44.0,26.0,84.0,77.0,84.0,81.0,35.0,21.0,15.0,6.0,7.0,5.0,4.0,4.0,€13.6M
M. Caldara,24,Italy,80,86,17500000.0,73000.0,1647,Right,2.0,3.0,2.0,Medium/ High,Normal,No,CB,33.0,"Aug 2, 2018",0,2023,6.2,176.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,55.0,57.0,57.0,57.0,55.0,68.0,71.0,71.0,71.0,68.0,71.0,79.0,79.0,79.0,71.0,34.0,36.0,82.0,63.0,51.0,62.0,20.0,24.0,58.0,63.0,65.0,69.0,58.0,77.0,59.0,38.0,76.0,67.0,79.0,20.0,76.0,82.0,34.0,32.0,30.0,74.0,85.0,84.0,80.0,14.0,9.0,6.0,9.0,5.0,€33.3M
D. Criscito,31,Italy,80,80,10000000.0,21000.0,2123,Left,2.0,3.0,3.0,Medium/ Medium,Normal,No,LCB,4.0,"Jul 1, 2018",0,2023,6.0,165.0,68.0,68.0,68.0,72.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,75.0,76.0,76.0,76.0,75.0,80.0,79.0,79.0,79.0,80.0,80.0,78.0,78.0,78.0,80.0,82.0,56.0,69.0,80.0,62.0,72.0,72.0,66.0,81.0,73.0,78.0,77.0,68.0,78.0,65.0,68.0,80.0,89.0,73.0,59.0,79.0,77.0,68.0,75.0,70.0,75.0,84.0,82.0,83.0,13.0,10.0,16.0,9.0,9.0,€17M
A. Mirante,34,Italy,80,80,6000000.0,51000.0,1199,Right,2.0,2.0,1.0,Medium/ Medium,Lean,No,GK,83.0,"Jul 1, 2018",0,2021,6.4,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,13.0,35.0,15.0,24.0,17.0,13.0,35.0,25.0,44.0,43.0,50.0,77.0,50.0,23.0,62.0,33.0,55.0,15.0,32.0,17.0,10.0,43.0,21.0,65.0,10.0,12.0,12.0,82.0,80.0,64.0,78.0,82.0,€10.2M
S. Sorrentino,39,Italy,80,80,1000000.0,10000.0,1178,Right,2.0,3.0,1.0,Medium/ Medium,Normal,No,GK,70.0,"Jul 6, 2016",0,2022,6.1,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,36.0,18.0,14.0,14.0,11.0,34.0,20.0,34.0,40.0,52.0,67.0,48.0,21.0,74.0,28.0,74.0,13.0,22.0,25.0,10.0,34.0,20.0,66.0,25.0,10.0,13.0,81.0,82.0,66.0,82.0,79.0,€1.7M
D. Zappacosta,26,Italy,79,81,12500000.0,94000.0,2069,Right,2.0,3.0,3.0,High/ High,Lean,Yes,RB,21.0,"Aug 31, 2017",0,2021,6.0,159.0,70.0,70.0,70.0,72.0,71.0,71.0,71.0,72.0,71.0,71.0,71.0,73.0,72.0,72.0,72.0,73.0,77.0,74.0,74.0,74.0,77.0,77.0,74.0,74.0,74.0,77.0,81.0,59.0,69.0,74.0,69.0,76.0,74.0,59.0,68.0,74.0,74.0,79.0,72.0,76.0,73.0,75.0,67.0,87.0,68.0,72.0,75.0,76.0,71.0,64.0,59.0,73.0,76.0,78.0,79.0,11.0,9.0,8.0,6.0,11.0,€24.1M
D. Baselli,26,Italy,79,82,15500000.0,49000.0,2097,Right,2.0,3.0,4.0,High/ Medium,Lean,No,CDM,8.0,"Jul 10, 2015",0,2020,6.0,154.0,73.0,73.0,73.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,77.0,72.0,72.0,72.0,72.0,72.0,70.0,67.0,67.0,67.0,70.0,74.0,67.0,64.0,82.0,73.0,80.0,79.0,73.0,78.0,83.0,75.0,69.0,79.0,75.0,75.0,76.0,69.0,75.0,67.0,81.0,65.0,68.0,75.0,80.0,71.0,74.0,67.0,65.0,63.0,11.0,12.0,13.0,7.0,6.0,€27.5M
D. Caligiuri,30,Italy,79,79,9000000.0,33000.0,2162,Right,2.0,4.0,3.0,Medium/ Medium,Normal,No,RWB,18.0,"Jan 25, 2017",0,2020,6.0,176.0,75.0,75.0,75.0,78.0,77.0,77.0,77.0,78.0,77.0,77.0,77.0,78.0,77.0,77.0,77.0,78.0,77.0,75.0,75.0,75.0,77.0,75.0,72.0,72.0,72.0,75.0,83.0,72.0,65.0,78.0,68.0,81.0,80.0,61.0,70.0,80.0,77.0,78.0,76.0,79.0,74.0,78.0,76.0,85.0,70.0,81.0,74.0,76.0,75.0,77.0,83.0,76.0,70.0,72.0,68.0,12.0,10.0,13.0,6.0,14.0,€15.3M
Eder,31,Italy,79,79,11500000.0,29000.0,1946,Right,3.0,4.0,4.0,High/ Medium,Normal,Yes,RS,9.0,"Jul 13, 2018",0,2021,5.1,159.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,78.0,70.0,70.0,70.0,78.0,58.0,53.0,53.0,53.0,58.0,53.0,43.0,43.0,43.0,53.0,72.0,78.0,60.0,76.0,76.0,83.0,80.0,78.0,58.0,83.0,85.0,84.0,81.0,78.0,80.0,80.0,50.0,78.0,60.0,76.0,60.0,24.0,83.0,78.0,78.0,78.0,31.0,20.0,26.0,8.0,12.0,11.0,10.0,9.0,€24.7M
A. Masiello,32,Italy,79,79,7000000.0,30000.0,1727,Right,2.0,2.0,2.0,Medium/ High,Normal,No,CB,5.0,"Jul 26, 2011",0,2023,6.0,181.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,55.0,59.0,59.0,59.0,55.0,70.0,72.0,72.0,72.0,70.0,72.0,77.0,77.0,77.0,72.0,60.0,23.0,76.0,66.0,52.0,54.0,47.0,35.0,68.0,62.0,58.0,55.0,60.0,79.0,56.0,63.0,79.0,63.0,75.0,41.0,76.0,84.0,30.0,36.0,31.0,74.0,78.0,83.0,80.0,14.0,7.0,12.0,12.0,12.0,€11.9M
